"","n_trials","alpha1_est","alpha2_est","alpha1_prior","alpha2_prior"
"1",100,0.478806,0.558989,0.589367,0.381016
"2",100,0.64444,0.599483,0.838855,0.578416
"3",100,0.54252,0.620271,0.57846,0.666886
"4",100,0.516799,0.69612,0.607036,0.379522
"5",100,0.568743,0.652418,0.771393,0.684039
"6",100,0.616214,0.641612,0.682599,0.680092
"7",100,0.694695,0.592486,0.520084,0.746963
"8",100,0.669398,0.580025,0.501448,0.763414
"9",100,0.805203,0.570619,0.488154,0.613295
"10",100,0.795934,0.603929,0.676046,0.500682
"11",100,0.766547,0.629656,0.494893,0.608455
"12",100,0.424621,0.663517,0.649054,0.640147
"13",100,0.504215,0.725098,0.365875,0.693429
"14",100,0.479444,0.635606,0.751949,0.39522
"15",100,0.669306,0.455879,0.472809,0.735765
"16",100,0.693678,0.567291,0.597218,0.667088
"17",100,0.706704,0.689806,0.569424,0.626777
"18",100,0.758276,0.733275,0.741033,0.570154
"19",100,0.730679,0.655005,0.770622,0.410142
"20",100,0.742102,0.692688,0.735119,0.711841
"21",100,0.736156,0.660026,0.668364,0.531018
"22",100,0.717259,0.665196,0.758433,0.35589
"23",100,0.678224,0.661293,0.45766,0.352562
"24",100,0.665455,0.670369,0.777382,0.413148
"25",100,0.597202,0.78976,0.586204,0.647836
"26",100,0.685668,0.767336,0.789987,0.67379
"27",100,0.654006,0.437374,0.497866,0.773741
"28",100,0.623255,0.367235,0.673264,0.648273
"29",100,0.512628,0.760621,0.521417,0.445983
"30",100,0.519538,0.760306,0.393214,0.687823
"31",100,0.665677,0.709126,0.678153,0.528044
"32",100,0.726126,0.618862,0.657518,0.503005
"33",100,0.727714,0.603628,0.505032,0.698826
"34",100,0.595209,0.714614,0.722683,0.625236
"35",100,0.603632,0.575794,0.549671,0.70287
"36",100,0.661626,0.603282,0.721758,0.676797
"37",100,0.596,0.565536,0.677961,0.578646
"38",100,0.535567,0.568416,0.623734,0.564879
"39",100,0.589614,0.656526,0.558514,0.307792
"40",100,0.622631,0.603071,0.666755,0.683491
"41",100,0.536074,0.713928,0.468418,0.522847
"42",100,0.479115,0.671148,0.778297,0.68502
"43",100,0.438153,0.672891,0.693387,0.343316
"44",100,0.493318,0.698933,0.526432,0.757211
"45",100,0.791801,0.724319,0.721096,0.635585
"46",100,0.726579,0.814469,0.509322,0.587767
"47",100,0.482358,0.616933,0.701632,0.630888
"48",100,0.495273,0.635604,0.555393,0.489652
"49",100,0.415727,0.625844,0.692672,0.440703
"50",100,0.49874,0.493776,0.426737,0.412752
"51",100,0.673406,0.408103,0.736492,0.465779
"52",100,0.803985,0.831055,0.66996,0.742943
"53",100,0.570541,0.761264,0.568796,0.544119
"54",100,0.561816,0.477266,0.771932,0.80685
"55",100,0.562622,0.473539,0.58483,0.755841
"56",100,0.641835,0.490978,0.632835,0.504264
"57",100,0.641008,0.489184,0.529003,0.572091
"58",100,0.458321,0.722731,0.679684,0.611022
"59",100,0.408753,0.609902,0.615362,0.664613
"60",100,0.658208,0.668616,0.704814,0.699781
"61",100,0.708143,0.655977,0.405171,0.797481
"62",100,0.698428,0.744871,0.632075,0.588801
"63",100,0.721311,0.605385,0.527232,0.790059
"64",100,0.653504,0.655563,0.587885,0.672806
"65",100,0.728504,0.533988,0.722085,0.806694
"66",100,0.57481,0.528769,0.703416,0.819279
"67",100,0.691704,0.678468,0.687682,0.46792
"68",100,0.669881,0.56908,0.669363,0.776218
"69",100,0.658314,0.517207,0.72013,0.655506
"70",100,0.672804,0.511306,0.633568,0.598288
"71",100,0.696384,0.572239,0.624257,0.68401
"72",100,0.668993,0.451255,0.645628,0.581881
"73",100,0.730665,0.796687,0.515403,0.517599
"74",100,0.750834,0.779585,0.672459,0.648371
"75",100,0.489152,0.512105,0.521415,0.590739
"76",100,0.487601,0.566238,0.49699,0.777336
"77",100,0.652896,0.615945,0.629549,0.499228
"78",100,0.693692,0.642069,0.670278,0.585172
"79",100,0.682908,0.644962,0.700354,0.538104
"80",100,0.65353,0.618973,0.612291,0.637547
"81",100,0.671713,0.576436,0.591726,0.731392
"82",100,0.643289,0.692656,0.80116,0.852791
"83",100,0.699362,0.760495,0.676395,0.610207
"84",100,0.696198,0.707185,0.471322,0.747471
"85",100,0.559008,0.521366,0.56787,0.750667
"86",100,0.517151,0.463221,0.599254,0.771728
"87",100,0.521927,0.465606,0.484773,0.444921
"88",100,0.52097,0.475607,0.879888,0.744708
"89",100,0.535453,0.568888,0.682089,0.657722
"90",100,0.679863,0.750816,0.605766,0.512086
"91",100,0.486411,0.561546,0.762459,0.34931
"92",100,0.642252,0.705133,0.59009,0.813421
"93",100,0.347231,0.740733,0.64849,0.566277
"94",100,0.38541,0.756785,0.564931,0.635718
"95",100,0.781028,0.762678,0.65167,0.619704
"96",100,0.663856,0.690622,0.655378,0.65472
"97",100,0.555909,0.698674,0.598489,0.621241
"98",100,0.528101,0.704944,0.602181,0.545673
"99",100,0.465861,0.679789,0.781433,0.618935
"100",100,0.507012,0.71656,0.574412,0.656867
"101",100,0.589056,0.670893,0.584419,0.734618
